field,unique_terms,total_terms,type_token_ratio,mean_ttr_first_instance,mean_ttr_appeal
inteiro_teor,81409,5319622,0.015303530965170082,0.49909844658554686,0.3740106829687893
fato,37049,1223296,0.03028621036936277,0.7355071994862566,0.5569808998712861
direito,49033,2218696,0.02209991815012061,0.6194948217796177,0.5495910805834371
pedido,64157,2988075,0.021471013947106415,0.6682884524840874,0.5790847252098043
